Date;Close;High;Low;Open;Volume
1/01/2015;15118.16;15250.29;14182.22;15217.26;1386018
1/02/2015;13620.66;15129.17;13620.66;14688.73;1732711
1/03/2015;13147.19;14017.06;12277.31;13455.5;3031534
1/04/2015;14664.84;14953.7;12976.16;13609.42;4979271
1/05/2015;13631.64;14887.04;13498.32;13998.26;12506575
1/06/2015;14831.49;14831.49;13398.33;13464.99;4172051
1/07/2015;14825.99;15105.93;14154.11;14949.16;3363081
1/08/2015;13974.95;14971.56;12284.07;14702.81;1921759
1/09/2015;13224.69;14109.33;12597.61;13974.95;1716410
1/10/2015;13378.99;14983.56;13186.89;13401.59;4562489
1/11/2015;12237.71;13469.39;11638.82;13299.89;1500613
1/12/2015;11853.51;12373.3;10678.33;12237.71;1369775
1/01/2016;12553.85;12679.39;11161.51;11971.81;1658593
1/02/2016;13580.98;13649.46;12827.75;12964.7;3902875
1/03/2016;13695.11;14482.57;13238.6;13580.98;2544349
1/04/2016;15261.35;15537.78;13867.67;14224.73;4296062
1/05/2016;13648.83;14869.74;13602.76;14581.79;5144197
1/06/2016;13764.01;14051.96;13337.85;13648.83;2567721
1/07/2016;14029.9;14088.01;13646.31;13832.29;1045316
1/08/2016;15436.37;15436.37;13832.29;14064.77;5313778
1/09/2016;14936.55;16075.68;14529.72;15575.86;14087336
1/10/2016;15537.32;15807.02;14622.67;14951.0;6644942
1/11/2016;14599.21;16053.27;14071.53;15537.31;9075673
1/12/2016;14786.83;15220.71;14446.77;14587.49;23778512
1/01/2017;15071.54;15379.12;14965.07;15024.22;13589070
1/02/2017;14787.62;15130.69;14574.68;14965.07;6325251
1/03/2017;15532.92;15698.54;14669.32;14965.07;8072794
1/04/2017;16140.1;16235.61;15220.88;15853.59;6958220
1/05/2017;18193.43;18193.43;16056.54;16140.1;34580565
1/06/2017;18969.4;19327.54;17692.04;18181.49;9250258
1/07/2017;18410.38;19854.34;18410.38;19120.33;4812829
1/08/2017;19854.33;19854.33;17941.09;18566.81;10224597
1/09/2017;19697.91;20841.03;19373.02;19854.33;13656549
1/10/2017;17090.61;19914.8;16787.59;19817.84;7820479
1/11/2017;17575.45;17757.27;16375.47;17090.61;6597026
1/12/2017;18169.38;18169.38;17211.82;17393.64;3558772
1/01/2018;19869.32;19869.32;18036.36;18317.42;4408286
1/02/2018;18427.39;20370.33;18427.39;19783.79;7302660
1/03/2018;18146.34;19918.2;18146.34;18732.89;4250743
