Date;Close;High;Low;Open;Volume
1/01/2015;2264.87;2499.02;2222.3;2499.02;3036163
1/02/2015;2161.13;2345.15;2109.78;2233.88;3686844
1/03/2015;2096.94;2182.53;1962.13;2131.17;7457776
1/04/2015;2165.41;2191.09;1951.44;2066.98;5978076
1/05/2015;2004.36;2239.03;1980.68;2174.44;3212792
1/06/2015;1823.52;1959.15;1774.0;1941.93;5599362
1/07/2015;1806.29;1929.01;1724.48;1823.52;4999614
1/08/2015;1495.95;1821.15;1361.53;1792.97;7342449
1/09/2015;1584.84;1712.75;1465.59;1495.95;5088325
1/10/2015;1294.32;1569.66;1287.82;1547.98;4915967
1/11/2015;1154.62;1307.7;1010.29;1307.7;3849008
1/12/2015;1224.6;1268.33;984.05;1154.62;4213373
1/01/2016;1351.43;1373.3;1224.6;1224.6;6684592
1/02/2016;1625.73;1665.49;1325.32;1354.04;9957106
1/03/2016;1692.0;1692.0;1506.45;1625.73;1457326458
1/04/2016;1749.43;1839.99;1678.74;1718.5;17176968
1/05/2016;1754.54;1841.13;1702.13;1822.9;21705083
1/06/2016;1759.1;1818.34;1738.59;1754.54;6883529
1/07/2016;1740.87;1786.44;1731.76;1754.54;2703470
1/08/2016;1822.9;1859.36;1722.64;1731.76;18978975
1/09/2016;1827.46;1895.82;1825.18;1827.46;8417226
1/10/2016;1847.97;1859.36;1779.61;1813.79;4240911
1/11/2016;1777.33;1868.47;1759.1;1847.97;5848126
1/12/2016;1834.29;1845.69;1777.33;1788.72;3267671
1/01/2017;1936.83;1989.24;1822.9;1827.46;14640954
1/02/2017;2018.86;2062.16;1936.83;1971.01;10386038
1/03/2017;1996.08;2041.65;1959.62;2037.09;8259582
1/04/2017;2041.65;2041.65;1973.29;1991.52;5400576
1/05/2017;2082.11;2180.82;2027.02;2056.86;13752085
1/06/2017;2111.95;2144.09;2068.34;2072.93;4252006
1/07/2017;2176.23;2180.82;2077.52;2111.95;4747087
1/08/2017;2173.32;2302.8;2173.32;2182.57;4984015
1/09/2017;2166.38;2235.75;2145.58;2173.32;5090516
1/10/2017;2076.22;2177.94;2057.72;2166.38;6233264
1/11/2017;2235.08;2258.37;2067.45;2095.39;4473241
1/12/2017;2216.46;2235.08;2155.92;2211.8;7845416
1/01/2018;3149.77;3190.15;2165.24;2216.46;8497845
1/02/2018;3079.92;3293.38;3062.98;3286.6;14358491
1/03/2018;3032.48;3117.19;3001.99;3100.25;5883724
1/04/2018;3137.52;3201.89;3062.97;3073.14;7935973
1/05/2018;3145.75;3186.79;3077.37;3166.27;6616385
1/06/2018;3173.11;3241.49;3121.82;3145.75;7445572
1/07/2018;3070.53;3179.95;3070.53;3173.11;7063308
1/08/2018;3123.74;3154.8;3037.45;3109.93;10002323
1/09/2018;3044.35;3130.64;2971.87;3103.03;7426802
1/10/2018;2830.35;3078.87;2761.32;2999.48;5640582
1/11/2018;2788.78;2997.94;2649.35;2774.84;4095675
1/12/2018;2788.78;2858.5;2656.32;2841.07;3095394
1/01/2019;2987.48;3018.86;2719.06;2788.78;11820776
1/02/2019;3101.03;3129.22;2974.17;3002.36;7441741
1/03/2019;3122.17;3273.7;3044.65;3101.03;5412168
1/04/2019;3256.08;3298.37;3044.65;3044.65;6326529
1/05/2019;3018.45;3288.97;2918.78;3288.97;2437189
1/06/2019;3093.2;3096.76;2840.47;3018.45;1733770
1/07/2019;3203.54;3264.05;3082.52;3093.2;6146106
1/08/2019;3092.36;3236.19;2980.89;3200.23;3080761
1/09/2019;3128.31;3228.99;3063.59;3128.31;5123897
1/10/2019;3128.31;3207.42;3045.61;3128.31;3729999
1/11/2019;3198.17;3256.32;3132.75;3161.83;5504235
1/12/2019;3205.44;3270.85;3161.83;3201.8;3720174
1/01/2020;3296.29;3303.56;3161.83;3205.44;3325722
1/02/2020;3305.53;3562.63;3232.07;3323.89;6558405
1/03/2020;3151.27;3478.15;2534.24;3371.64;8093075
1/04/2020;3085.16;3268.8;2919.89;3026.4;3343668
1/05/2020;3032.0;3228.93;2972.55;3121.18;1866750
1/06/2020;3058.01;3217.78;2972.55;2972.55;6864759
1/07/2020;3124.89;3269.8;3028.28;3028.28;6773835
1/08/2020;3448.16;3492.74;3050.58;3076.59;3136732
1/09/2020;3433.29;3511.32;3228.93;3470.45;3532465
1/10/2020;3125.63;3483.83;3125.63;3358.98;3379211
1/11/2020;3380.97;3396.0;3160.08;3160.08;3152548
1/12/2020;3559.79;3680.75;3380.97;3470.38;6809213
1/01/2021;3606.37;3673.24;3478.64;3559.79;3689083
1/02/2021;3531.99;3621.4;3494.42;3606.37;3186625
