Date;Close;High;Low;Open;Volume
1/01/2015;27559.21;31496.25;26929.29;31496.25;4211261
1/02/2015;27574.96;28346.62;26645.82;28015.91;2900605
1/03/2015;26000.15;27590.71;25197.0;26551.33;9271178
1/04/2015;29306.74;29527.92;25357.04;26510.36;10832550
1/05/2015;26289.17;30918.22;26225.98;30918.22;3772919
1/06/2015;29243.55;29243.55;26494.56;26557.76;4215398
1/07/2015;29312.38;29645.11;28139.88;29328.22;10665540
1/08/2015;27965.59;29201.46;25161.11;29201.46;3431867
1/09/2015;27933.91;28504.31;26301.92;27965.6;4929630
1/10/2015;28971.17;29718.09;27731.59;28510.3;3265395
1/11/2015;25713.3;29511.49;25061.73;29225.44;10556170
1/12/2015;28367.27;28764.57;23440.74;25713.3;6658818
1/01/2016;27897.97;28455.93;24135.73;28455.93;3614832
1/02/2016;30129.81;30289.23;27563.2;28408.11;5133930
1/03/2016;31325.43;31851.51;29077.65;30129.8;5348654
1/04/2016;31070.36;32026.86;30751.53;31803.68;4416513
1/05/2016;29736.53;31750.94;29416.78;31399.22;10017019
1/06/2016;30423.98;31319.28;29496.71;29736.53;3989021
1/07/2016;31253.0;32054.77;30387.09;30707.8;3220040
1/08/2016;31413.35;31605.78;30435.19;30964.36;4438564
1/09/2016;30595.55;32022.7;30355.02;30980.4;3713362
1/10/2016;31184.51;31281.01;29753.14;30267.79;1748510
1/11/2016;28546.93;31184.51;28144.86;31184.51;5021179
1/12/2016;30718.11;31023.68;28546.93;28868.59;4280523
1/01/2017;31459.69;31701.69;30443.3;30636.9;2534840
1/02/2017;29507.58;32024.36;29378.51;31508.09;2691222
1/03/2017;31524.21;31701.67;29443.03;29668.89;8286865
1/04/2017;31379.01;31863.0;31007.95;31379.01;4195801
1/05/2017;31527.92;32883.79;31380.9;31772.96;5303090
1/06/2017;32344.7;32361.03;31446.23;31838.29;8114336
1/07/2017;34321.31;34402.99;32115.99;32344.69;2405512
1/08/2017;33896.59;34468.34;31789.29;34092.62;1926585
1/09/2017;33390.19;34174.31;33259.51;33896.6;1950922
1/10/2017;31544.25;34304.99;31544.25;33586.22;4012683
1/11/2017;31854.62;32263.02;30368.08;31740.28;3004639
1/12/2017;32916.45;33226.83;31495.25;32017.99;2684321
1/01/2018;32769.43;33978.27;31560.59;32916.45;2591502
1/02/2018;31380.89;33455.52;31119.52;33243.16;4095010
1/03/2018;29878.0;32181.34;29878.0;31299.21;2091451
1/04/2018;31948.51;31948.51;30309.28;30850.22;12183599
1/05/2018;30424.02;31948.49;29915.86;31948.49;8311560
1/06/2018;30194.54;31112.51;29506.06;30424.03;5453244
1/07/2018;29694.01;31240.41;29101.78;30302.7;7348896
1/08/2018;29611.76;30582.37;29496.6;29759.82;4808912
1/09/2018;27851.5;29694.01;27144.11;29529.5;4030399
1/10/2018;25994.32;28785.33;25812.66;28488.06;21026897
1/11/2018;26671.43;27744.89;25515.39;25928.26;7420917
1/12/2018;26522.8;27579.75;26093.41;26968.7;6595903
1/01/2019;28586.22;28851.53;26397.49;26629.63;10492286
1/02/2019;29017.35;30095.13;28453.58;28702.3;4956562
1/03/2019;30377.01;31090.0;28337.5;28967.59;8360578
1/04/2019;29846.4;30493.07;28519.9;29995.63;4067684
1/05/2019;27829.71;29960.21;27030.77;29960.21;5059749
1/06/2019;28378.97;29061.4;27213.86;27829.7;3520278
1/07/2019;28409.17;29812.92;27740.72;28492.72;3955581
1/08/2019;27406.5;28826.95;25919.19;28826.95;4443002
1/09/2019;27573.61;28609.71;27189.25;27991.39;6250006
1/10/2019;28696.74;28696.74;27186.38;27689.83;4559615
1/11/2019;27270.29;29200.18;26850.74;28696.73;6232250
1/12/2019;28528.92;28528.92;26766.84;27136.03;5055995
1/01/2020;26959.77;28931.2;26959.77;28644.75;2721356
1/02/2020;25696.04;28408.86;24364.9;27128.27;4954184
1/03/2020;16866.71;26791.27;12553.14;24853.54;6310028
1/04/2020;18130.45;21230.82;15586.12;15586.12;5195318
1/05/2020;15426.51;18240.58;14917.95;18240.58;5103477
1/06/2020;15799.46;18647.43;15562.13;16206.31;7159825
1/07/2020;16568.25;17798.05;15748.37;15748.37;4677085
1/08/2020;17934.71;18993.71;16038.75;16397.44;4237949
1/09/2020;17610.16;20479.72;17422.28;19266.99;6234487
1/10/2020;17285.47;18420.64;16769.49;17732.66;2926083
1/11/2020;18403.43;19435.4;17113.47;17285.47;4758258
1/12/2020;21740.13;22763.5;18532.43;18910.82;8391426
1/01/2021;19637.32;21929.78;19637.32;21869.23;5754454
1/02/2021;20476.45;20588.91;18858.75;19637.32;4993801
1/03/2021;18772.25;20467.8;18434.86;19948.76;5790239
1/04/2021;16574.94;19014.47;16574.94;18772.24;4554670
1/05/2021;17443.03;18540.84;15343.24;15717.89;4453153
