Date;Close;High;Low;Open;Volume
1/01/2015;5824.08;6493.78;5613.39;6493.78;2789342
1/02/2015;5921.9;6155.17;5696.16;5696.16;5301463
1/03/2015;5568.24;5929.43;5440.32;5839.13;4151438
1/04/2015;6237.94;6426.05;5575.77;5590.82;5659827
1/05/2015;5891.8;6320.71;5831.61;6019.72;5663707
1/06/2015;5530.62;6170.22;5425.27;6102.49;6146467
1/07/2015;5387.65;5643.49;5086.67;5530.62;7664897
1/08/2015;4996.37;5425.27;3957.97;5282.31;5195222
1/09/2015;5139.34;5485.47;4612.61;4996.37;10214744
1/10/2015;5214.58;5538.14;4891.02;5380.13;4505515
1/11/2015;5116.76;5493.0;4717.96;5222.11;5988759
1/12/2015;5553.19;5553.19;4635.19;5116.76;6665904
1/01/2016;5490.78;5596.96;5157.09;5596.96;10334590
1/02/2016;5877.57;6059.58;5468.03;5680.38;7278710
1/03/2016;6598.04;6673.88;5877.57;5877.57;7913279
1/04/2016;6711.8;6742.14;6279.51;6560.12;15056796
1/05/2016;6673.88;6795.22;6355.35;6552.54;12050254
1/06/2016;6681.47;6780.06;6514.62;6673.88;6085725
1/07/2016;6939.32;6977.24;6628.38;6780.06;6790629
1/08/2016;7541.61;7633.77;6957.94;7011.7;7162052
1/09/2016;7434.09;7848.81;7303.54;7603.05;5687830
1/10/2016;7672.17;7710.57;7311.22;7411.05;4344142
1/11/2016;7603.05;7956.32;7364.98;7672.17;6242886
1/12/2016;7664.49;7940.96;7526.25;7679.85;7055463
1/01/2017;8109.92;8109.92;7595.37;7626.09;7144864
1/02/2017;8601.43;8678.23;8002.4;8048.48;9813040
1/03/2017;8908.62;9016.14;8478.55;8785.75;8358837
1/04/2017;8954.7;8985.42;8693.59;8862.55;8515498
1/05/2017;10828.59;10828.59;8862.55;8954.7;20716022
1/06/2017;10244.92;10890.03;10029.88;10890.03;9392616
1/07/2017;10506.03;10552.11;9983.8;10244.92;6113127
1/08/2017;10355.39;10603.43;10029.85;10541.42;5535434
1/09/2017;10603.43;10773.95;10324.39;10355.39;5442091
1/10/2017;10324.39;10820.46;10184.87;10587.93;7264919
1/11/2017;10696.44;10789.45;10169.37;10401.9;6596726
1/12/2017;11006.48;11161.5;10541.42;10727.44;5631224
1/01/2018;11083.99;11347.53;10866.96;11006.48;5144028
1/02/2018;10618.93;11487.05;10231.38;11223.51;7475485
1/03/2018;10138.37;10696.44;9781.82;10696.44;5527924
1/04/2018;11223.51;11781.59;10231.38;10401.9;10391395
1/05/2018;10975.48;11239.01;10649.93;11223.51;10955849
